,city,Cloudness,Country,Date,Lat,Lng,Max Temp,Wind Speed,Humidity
0,Valparaiso,1,US,1566953752,41.47,-87.06,77.0,6.93,68
1,Kodiak,1,US,1566953712,39.95,-94.76,71.6,6.93,68
2,Dzhebariki-Khaya,24,RU,1566953963,62.22,135.8,61.79,2.33,48
3,Rikitea,68,PF,1566953710,-23.12,-134.97,70.07,9.84,73
4,Rio Grande,40,BR,1566953963,-32.03,-52.1,57.0,3.36,94
5,Katsuura,75,JP,1566953964,33.93,134.5,81.0,2.24,100
6,Busselton,78,AU,1566953964,-33.64,115.35,59.0,14.14,53
7,Labuhan,99,ID,1566953964,-2.54,115.51,73.31,1.3,87
8,Makakilo City,75,US,1566953964,21.35,-158.09,89.6,6.93,62
9,Ushuaia,75,AR,1566953863,-54.81,-68.31,39.2,9.17,69
10,Punta Arenas,0,CL,1566953722,-53.16,-70.91,37.4,26.4,74
11,Maltahohe,0,NA,1566953964,-24.83,16.98,40.55,3.62,55
12,Quatre Cocos,40,MU,1566953965,-20.21,57.76,71.6,16.11,60
13,Salalah,75,OM,1566953883,17.01,54.1,78.8,5.82,94
14,San Cristobal,42,HN,1566953965,14.68,-86.92,75.83,6.6,63
15,Mar del Plata,93,AR,1566953714,-46.43,-67.52,47.39,23.2,65
16,Sumbawanga,0,TZ,1566953965,-7.95,31.62,60.8,5.82,63
17,Waddan,0,LY,1566953965,29.16,16.14,74.39,7.14,59
18,Castro,20,CL,1566953966,-42.48,-73.76,46.4,6.93,87
19,Ozinki,36,RU,1566953966,51.2,49.73,54.23,9.55,90
20,Saint-Philippe,1,CA,1566953765,45.36,-73.48,73.99,4.7,56
21,Albany,90,US,1566953738,42.65,-73.75,71.6,3.36,88
22,Pevek,100,RU,1566953966,69.7,170.27,37.13,21.25,95
23,Victoria,75,BN,1566953966,5.28,115.24,80.6,3.36,83
24,Homa Bay,0,KE,1566953967,-0.53,34.45,64.4,106.93,77
25,Bambous Virieux,40,MU,1566953703,-20.34,57.76,71.6,16.11,60
26,Sorong,90,ID,1566953967,-0.86,131.25,79.07,9.73,83
27,Nizhniy Odes,100,RU,1566953967,63.64,54.86,38.03,7.9,89
28,Puerto El Triunfo,20,SV,1566953967,13.27,-88.55,86.0,6.93,74
29,Kapaa,1,US,1566953967,22.08,-159.32,89.6,11.41,59
30,Kavieng,7,PG,1566953967,-2.57,150.8,82.67,2.95,72
31,Esperance,100,AU,1566953720,-33.86,121.89,51.8,13.87,57
32,Ormara,0,PK,1566953968,25.21,64.64,79.43,4.7,84
33,Luderitz,0,NA,1566953741,-26.65,15.16,53.6,17.22,62
34,Gamba,0,CN,1566953968,28.28,88.52,39.11,1.14,74
35,Nome,1,US,1566953968,30.04,-94.42,87.8,6.93,74
36,Aguimes,40,ES,1566953968,27.91,-15.45,71.6,24.16,83
37,Vila Velha,20,BR,1566953969,-3.71,-38.6,80.6,12.75,74
38,Hobart,75,AU,1566953933,-42.88,147.33,48.99,14.99,81
39,Ust-Kuyga,20,RU,1566953969,70.0,135.55,46.13,13.6,59
40,Hay River,90,CA,1566953830,60.82,-115.79,62.6,10.29,63
41,Morden,75,CA,1566953953,49.19,-98.1,55.4,13.87,93
42,Prudentopolis,31,BR,1566953969,-25.21,-50.98,56.93,2.1,92
43,Nara,75,JP,1566953969,34.68,135.8,82.99,27.51,88
44,Bluff,0,AU,1566953969,-23.58,149.07,70.25,8.9,53
45,Yellowknife,75,CA,1566953730,62.45,-114.38,64.4,4.7,48
46,Upernavik,100,GL,1566953970,72.79,-56.15,39.11,3.27,61
47,Aykhal,90,RU,1566953970,65.95,111.51,48.2,8.95,87
48,Qaanaaq,100,GL,1566953970,77.48,-69.36,32.81,7.36,89
49,Laguna,20,BZ,1566953970,16.17,-88.94,84.2,4.7,79
50,Katangli,100,RU,1566953970,51.71,143.23,61.43,4.34,88
51,Hobyo,94,SO,1566953971,5.35,48.53,74.93,22.84,81
52,Puerto Ayora,20,EC,1566953971,-0.74,-90.35,75.2,17.22,69
53,Nikolskoye,0,RU,1566953971,59.7,30.79,57.99,2.19,81
54,Sao Joao da Barra,52,BR,1566953971,-21.64,-41.05,62.51,2.73,80
55,Cape Town,20,ZA,1566953725,-33.93,18.42,48.99,12.95,87
56,Zhigansk,98,RU,1566953844,66.77,123.37,65.21,4.41,48
57,Vila,40,IT,1566953765,45.18,8.4,79.0,3.36,88
58,Lebu,75,ET,1566953717,8.96,38.73,55.4,11.41,93
59,Thinadhoo,68,MV,1566953972,0.53,72.93,82.67,10.42,76
60,Georgetown,20,GY,1566953949,6.8,-58.16,82.4,9.17,83
61,New Norfolk,75,AU,1566953972,-42.78,147.06,48.99,14.99,81
